"","Price","SQFT","Bedrooms","Baths","Age","Occupancy","Pool","Fireplace","Waterfront","DOM"
"0",66500,741,1,1,18,1,1,1,0,6
"1",66000,741,1,1,18,2,1,0,0,23
"2",68500,790,1,1,18,1,0,1,0,8
"3",102000,2783,2,2,18,1,0,1,0,50
"4",54000,1165,2,1,35,2,0,0,0,190
"5",143000,2331,2,2,25,1,0,1,0,86
"6",98900,1228,2,2,25,3,0,1,0,123
"7",98350,1228,2,2,25,2,0,1,0,137
"8",98847,1228,2,2,25,2,0,1,0,168
"9",98900,1228,2,2,25,2,0,1,0,135
"10",101313,1228,2,2,25,2,0,1,0,132
"11",125000,1520,2,2,18,1,0,0,0,33
"12",62500,1440,2,2,25,3,0,1,0,113
"13",92000,1001,2,2,25,1,0,0,0,96
"14",120000,1438,2,1,45,1,0,0,0,30
"15",23000,956,2,1,35,2,0,0,0,51
"16",22654,1080,2,1,63,2,0,0,0,8
"17",95000,1745,2,1,45,1,0,0,0,41
"18",64900,971,2,1,45,2,0,0,0,176
"19",75000,1303,2,1,45,2,0,0,0,329
"20",68000,1590,2,1,35,2,0,0,0,65
"21",23000,933,2,1,45,2,0,0,0,3
"22",40101,850,2,1,63,2,0,0,0,4
"23",93000,2332,2,2,25,1,0,0,0,66
"24",58500,1562,2,1,35,2,0,0,0,83
"25",103500,1452,3,2,18,2,0,0,0,14
"26",102565,2890,3,2,25,1,1,1,0,15
"27",97900,2419,3,2,18,2,0,0,0,46
"28",99000,1808,3,2,18,1,0,0,0,7
"29",82000,1396,3,2,35,1,0,0,0,27
"30",171500,2216,3,2,5,1,0,1,0,11
"31",135900,1425,3,2,18,2,0,1,0,0
"32",80001,2291,3,2,25,2,0,1,0,7
"33",136000,2024,3,2,5,2,0,1,1,10
"34",167500,2560,3,2,2,1,0,1,0,149
"35",134000,2246,3,2,5,2,0,1,0,97
"36",270000,5814,3,3,63,1,0,1,1,3
"37",315000,3835,3,2,63,2,0,1,0,48
"38",207000,2870,3,2,13,1,0,1,0,32
"39",197500,3128,3,2,63,1,0,1,0,37
"40",335000,3060,3,2,45,1,0,0,0,7
"41",219000,2918,3,3,63,2,0,1,0,263
"42",189900,1936,3,2,45,1,0,1,0,11
"43",79900,2610,3,1,45,1,0,0,0,77
"44",123400,2446,3,2,45,1,0,0,0,70
"45",123000,2590,3,2,45,2,0,0,0,21
"46",130500,2910,3,2,45,2,0,0,0,45
"47",128000,1304,3,2,45,2,0,0,0,22
"48",68000,1342,3,1,35,2,0,0,0,380
"49",62000,1090,3,1,35,2,0,0,0,168
"50",124000,2989,3,2,45,1,0,0,0,50
"51",50000,2191,3,1,45,2,0,0,0,32
"52",89900,1393,3,1,45,1,0,0,0,43
"53",125000,1912,3,2,45,1,0,0,0,8
"54",147000,2126,3,2,45,1,0,1,0,66
"55",246000,2666,3,2,45,1,0,1,0,10
"56",76000,1286,3,1,35,2,0,0,0,25
"57",135000,2135,3,2,25,2,0,1,0,46
"58",85000,1400,3,2,35,1,0,0,0,26
"59",124900,2272,3,2,35,2,0,1,0,34
"60",98900,1956,3,1,35,1,0,1,0,34
"61",120000,1644,3,2,35,1,0,0,0,24
"62",134000,2692,3,2,35,1,1,0,0,57
"63",115495,2707,3,2,25,1,0,0,0,21
"64",81900,1404,3,2,45,1,0,0,0,32
"65",34000,1111,3,1,35,1,0,0,0,1
"66",91500,1519,3,1,35,1,0,1,0,20
"67",109200,2100,3,2,25,2,0,0,0,17
"68",42000,1370,3,1,35,2,0,0,0,49
"69",110000,1819,3,2,35,2,0,0,0,5
"70",142000,2545,3,2,35,1,0,0,0,92
"71",79900,1511,3,1,25,1,0,0,0,6
"72",134900,2403,3,2,25,1,0,1,0,80
"73",130000,2468,3,2,25,1,0,1,0,30
"74",125000,2367,3,2,25,2,0,1,0,85
"75",108000,2461,3,3,25,1,1,0,0,51
"76",133000,2496,3,2,25,1,0,1,0,9
"77",126000,2301,3,2,25,1,0,1,0,15
"78",121900,2200,3,2,25,1,0,1,0,26
"79",116000,2453,3,2,25,1,0,1,0,52
"80",135000,2876,3,2,25,1,0,1,0,44
"81",150000,2523,3,2,25,1,0,1,0,31
"82",136400,2534,3,2,25,1,0,1,0,130
"83",97500,1790,3,2,25,1,0,1,0,11
"84",141000,2703,3,2,25,1,0,1,0,39
"85",185000,2495,3,2,18,1,0,1,0,68
"86",127000,2009,3,2,35,1,0,1,0,112
"87",290000,2824,3,2,25,1,0,1,0,73
"88",95700,1485,3,2,25,2,0,1,0,89
"89",139900,3266,3,2,25,2,0,1,0,8
"90",97500,1358,3,2,25,1,0,1,0,35
"91",90900,1337,3,1,25,1,0,1,0,121
"92",72500,1411,3,1,25,2,0,1,0,13
"93",137500,1965,3,2,25,1,0,1,0,11
"94",116000,1843,3,2,18,1,0,0,0,5
"95",121500,1897,3,2,13,2,0,1,0,140
"96",149900,2486,3,2,18,1,0,0,0,7
"97",99000,1467,3,2,18,1,0,1,0,78
"98",100000,1453,3,2,18,1,0,0,0,8
"99",208000,3157,3,2,18,1,0,1,0,21
"100",130000,1296,3,2,18,3,0,1,0,60
"101",102500,1800,3,2,25,2,0,0,0,35
"102",190000,3264,3,2,18,1,1,1,0,5
"103",119400,1996,3,2,18,1,0,1,0,17
"104",212500,3453,3,2,13,1,0,1,0,2
"105",263000,3682,3,2,13,1,0,1,0,8
"106",125000,1879,3,2,13,1,0,1,0,72
"107",125000,2071,3,2,13,1,0,1,0,16
"108",206500,2132,3,2,13,1,0,1,0,60
"109",117500,1979,3,2,8,1,0,1,0,22
"110",175000,2469,3,2,8,2,0,1,0,19
"111",192500,2681,3,2,8,1,0,1,1,56
"112",111900,1615,3,2,8,2,0,0,0,192
